date,S0,H0,Vi0,gamma,s1,t_s,alpha,h1,t_h,cum_cases,RSD,t_qz,t_cure,t_now,S0_pre,H0_pre,endPoint,date_newend1,confirmed_pre
12-May,0.562666905,0.019392352,2.260270054,0.335462365,0.96498084,2.17E-05,0.058698208,0.499999826,55.68943901,2675,0.297748076,55,53,53,0.562666905,0.019392352,842,13-Jun-22,1983
13-May,0.560516923,0.018986726,2.195137011,0.323374452,0.966216118,0.00039274,0.062760575,0.499999867,52.49975897,2707,0.293678214,51,50,49,0.560516923,0.018986726,843,09-Jun-22,1690
14-May,0.560296716,0.018143294,2.184790051,0.321676232,0.966476255,1.56E-05,0.069723624,0.499999998,48.03349601,2740,0.291257345,47,47,46,0.560296716,0.018143294,844,06-Jun-22,1523
15-May,0.560267971,0.017958422,2.182658314,0.321363846,0.966553626,1.60E-05,0.071623808,0.499999685,46.9340356,2779,0.285267476,46,46,45,0.560267971,0.017958422,845,05-Jun-22,1479
16-May,0.561791074,0.017423718,2.225484852,0.329255038,0.966022486,0.000341763,0.075842876,0.5,44.79193943,2822,0.280635216,45,44,44,0.561791074,0.017423718,846,04-Jun-22,1460
17-May,0.56356558,0.01723802,2.274228866,0.337999986,0.965500579,1.97E-05,0.077502572,0.499999977,43.99736344,2874,0.276027311,45,44,44,0.56356558,0.01723802,847,04-Jun-22,1484
18-May,0.562852541,0.017771649,2.253722092,0.335060361,0.965460454,1.75E-05,0.07440452,0.499999971,45.36307387,2924,0.274889862,46,45,45,0.562852541,0.017771649,848,05-Jun-22,1512
19-May,0.562706185,0.018111151,2.249387118,0.334912958,0.965269003,1.94E-05,0.072603633,0.499999998,46.1931328,2974,0.271438711,47,46,45,0.562706185,0.018111151,849,06-Jun-22,1544
20-May,0.563473619,0.018375144,2.270755267,0.339090599,0.964903143,6.09E-06,0.07119422,0.499999997,46.87685078,3033,0.268446563,48,46,46,0.563473619,0.018375144,850,06-Jun-22,1590
21-May,0.563470653,0.018663877,2.270828764,0.339581952,0.96470808,5.90E-05,0.069692631,0.499995341,47.63285223,3085,0.264807687,48,47,47,0.563470653,0.018663877,851,07-Jun-22,1627
22-May,0.564213921,0.019053673,2.290132689,0.34430993,0.964078382,6.10E-06,0.070469322,0.322683352,40.28729315,3168,0.267467213,53,52,51,0.564213921,0.019053673,852,11-Jun-22,1790
23-May,0.56341599,0.018798958,2.268064079,0.341013892,0.964035315,2.15E-05,0.0764867,0.21266154,31.50658616,3209,0.264881185,59,59,57,0.56341599,0.018798958,853,15-Jun-22,1891
