location,ind_start1_confirmed,ind_end1_confirmed,ind_start1_recovered,ind_end1_recovered,c0,gamma,g0,t_g,alpha,h0,t_h,G1,H1,date_tg,tg_new,date_th,th_new,cum_cases,RSD,t_qz,t_cure,t_now,G1_pre,H1_pre,new_qz_max,t_qz_max,ind_qz_1,ind_qz_2,new_cure_max,t_cure_max,ind_cure_1,ind_cure_2,now_qz_max,t_now_max,ind_now_1,ind_now_2,total_10,total_11,total_12,total_13,total_14,total_15,ind_start2_confirmed,ind_end2_confirmed,ind_start2_recovered,ind_end2_recovered,ind_start3_confirmed,ind_end3_confirmed,ind_start3_recovered,ind_end3_recovered
Anhui,2,29,8,47,0.999999997,0.217335557,0.998237998,5.516121906,0.14177291,0.608813863,42.34738401,0.272111195,0.001727598,27-Jan-20,7.516121906,04-Mar-20,44.34738401,986,0.259931926,25,31,35,0.272111195,0.001727598,68.21219115,13,3,27,51.18574609,33,15,45,749.3426776,21,6,40,43,68,72,50,61,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beijing,1,30,3,45,0.999999651,0.153973992,1,0.328356606,0.03596664,0.999993867,118.8859896,0.525830886,0.014203394,22-Jan-20,2.328356606,19-May-20,120.8859896,395,0.412363817,29,66,58,0.525830886,0.014203394,21.16941312,12,2,30,9.308792892,32,7,72,260.8220366,22,3,61,29,23,21,16,25,21,142,187,156,195,823,853,825,853
Chongqing,1,30,8,53,0.999999997,0.326190405,0.98516229,6.139124829,0.198594375,0.136837896,26.36947053,0.155243473,0.000881702,28-Jan-20,8.139124829,17-Feb-20,28.36947053,567,0.407309361,28,41,42,0.155243473,0.000881702,40.90896489,11,2,29,21.4886435,35,13,53,411.4204862,20,5,46,36,53,37,29,23,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fujian,3,34,13,45,0.999999958,0.260428407,0.993673625,3.48627913,0.158083386,0.254891233,34.35153017,0.341380194,0.001301341,25-Jan-20,5.48627913,25-Feb-20,36.35153017,293,0.352641117,23,36,40,0.341380194,0.001301341,20.93658625,9,2,24,13.84119007,34,13,48,227.305743,19,3,42,20,15,11,10,9,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guangdong,1,29,5,52,0.533713932,0.22940508,1,9.508865841,0.110911822,0.170545902,34.2539066,0.124108276,0.004162206,31-Jan-20,11.50886584,25-Feb-20,36.25163121,1331,0.297362062,25,44,43,0.124337941,0.004160143,93.92781091,14,2,26,45.04230758,32,11,56,963.1978072,21,6,47,99,97,93,88,82,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guangxi,1,35,7,58,1,0.32040915,0.984658722,6.485190614,0.075347448,0.739238988,64.73225534,0.144846315,0.006021758,28-Jan-20,8.485190614,26-Mar-20,66.73225534,252,0.48463365,32,48,46,0.144846315,0.006021758,17.78030214,10,3,34,8.188075605,37,11,58,165.5568248,20,5,50,13,11,16,12,11,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guizhou,1,40,8,50,0.645888689,0.19862479,1,10.43817398,0.030388685,0.824023743,115.2696259,0.133003981,0.024807064,01-Feb-20,12.43817398,16-May-20,117.2696259,146,0.549098823,27,54,48,0.133003981,0.024807064,9.730762337,15,4,30,4.602584384,27,10,63,91.58765271,23,7,54,13.35811138,9,8,12,6,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hainan,1,35,9,46,0.999999926,0.16867764,0.98883414,1.479654913,0.143742179,0.182771349,29.35307227,0.474427058,0.003052201,23-Jan-20,3.479654913,20-Feb-20,31.35307227,168,0.441597979,32,39,41,0.474427058,0.003052201,9.00069121,13,2,33,6.958610019,32,12,50,108.4319841,22,4,44,10,2,8,8,19,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hebei,1,30,12,52,1,0.287562284,0.978739273,7.662082213,0.221590152,0.155335634,24.29283716,0.125606238,0.00088551,29-Jan-20,9.662082213,15-Feb-20,26.29283716,307,0.387527956,29,35,37,0.125606238,0.00088551,21.09589298,14,4,32,11.20150584,28,14,48,188.8984198,21,7,43,8,9,13,9,22,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heilongjiang,1,30,10,55,0.999999947,0.189580468,0.99999297,6.32547352,0.134450306,0.140644203,33.09661975,0.267055134,0.001854398,29-Jan-20,9.32547352,25-Feb-20,36.09661975,479,0.421662887,27,44,43,0.267055134,0.001854398,28.27158679,15,4,30,15.950848,37,15,58,325.2221127,24,8,50,15,26,34,35,37,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
